Date,Client,CampaignSegment,Calls,Contacts,Leads,Denom,ListSize,AvgSTLsec,PayrollHours
2026-08-04,AGN,,542,,47,439,,662,
2026-08-05,AGN,,443,,65,493,,609,
2026-08-06,AGN,,505,,54,506,,1456,
2026-08-07,AGN,,310,,57,388,,555,
2026-08-08,AGN,,0,,0,,,,
2026-08-09,AGN,,0,,0,,,,
2026-08-10,AGN,,475,,69,625,,840,
2026-08-11,AGN,,767,,57,467,,781,
2026-08-12,AGN,,612,,77,556,,188,
2026-08-13,AGN,,864,,69,531,,253,
2026-08-14,OHS,,70,48,15,669,,,
2026-08-14,SE,,682,456,54,5361,,,
2026-08-14,A1G,,569,199,38,6553,,,
2026-08-14,AGN,,654,,54,400,,,
2026-08-15,AGN,,0,,0,,,,
2026-08-16,AGN,,0,,0,,,,
2026-08-17,SE,,161,99,13,937,,,
2026-08-17,A1G,,170,45,8,1923,,,
