Period,Campaign,"Campaign Type","Lines per Agent","Total Leads",Available,Dialed,"Dials per Hr","Avg Attempts",Reps,"Man Hours","Logged In Time",Connects,"Connect %",Contacts,Contact%,Hangups,"Connects per Hour","Conversion Rate","Conversion Factor",Sale/Lead/App,S-L-A/HR,"NoAns Rate","Norb Rate","Drop Rate","Avg Wait Time"
Total,"A1G ABQ HS26M PRIORITY OTHER NEW",Outbound,8,2213,89.56%,276,181.58,1,3,1.52,01:47:46,23,8.33,18,6.52,1,15.13,22.22%,.01,4,2.63,17.03%,1.09%,14.81%,00:00:57
Total,"A1G ABQ HS26M PRIORITY TIERS",Outbound,7,2316,81.99%,2,18.18,8,1,.11,00:08:01,2,100.00,2,100.00,0,18.18,50.00%,4.55,1,9.09,.00%,.00%,.00%,00:00:00
Total,"A1G AUS HS26C STL",Outbound,1,270,57.78%,4,80.00,2,1,.05,00:04:10,4,100.00,0,.00,0,80.00,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G BOI HS26M PRIORITY OTHER TIER",Outbound,8,3552,77.87%,502,865.52,9,3,.58,00:46:57,19,3.78,5,1.00,0,32.76,.00%,.00,0,.00,11.75%,.40%,13.64%,00:00:59
Total,"A1G COS HS26M STL",Outbound,1,176,46.59%,3,60.00,1,2,.05,00:06:56,2,66.67,0,.00,1,40.00,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G DAL HS26C PRIORITY 1",Outbound,8,72741,99.80%,1,50.00,1,1,.02,00:00:58,1,100.00,0,.00,0,50.00,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G DEN DONS HS26M PRIORITY TIERS",Outbound,8,3170,81.36%,55,196.43,9,3,.28,00:19:24,3,5.45,3,5.45,0,10.71,33.33%,.06,1,3.57,7.27%,.00%,25.00%,00:00:54
Total,"A1G DEN DONS HS26M PRIORITY TIERS OTHER",Outbound,8,43944,98.16%,2738,398.54,1,7,6.87,08:10:33,170,6.21,95,3.47,2,24.75,6.32%,.00,6,.87,11.36%,.73%,12.82%,00:01:08
Total,"A1G DET GRR HS26E STL",Outbound,1,1393,57.79%,1,50.00,1,1,.02,00:10:44,1,100.00,0,.00,0,50.00,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G FLG HS26M PRIORITY TIERS OTHER NEW",Outbound,3,2616,97.48%,1112,201.81,1,9,5.51,06:41:54,108,9.71,66,5.94,1,19.60,7.58%,.00,5,.91,14.12%,.18%,4.42%,00:01:09
Total,"A1G GRB HS26C PRIORITY TIERS OTHER NEW",Outbound,3,1654,99.33%,2,200.00,1,1,.01,00:00:46,0,.00,0,.00,0,.00,.00%,.00,0,.00,50.00%,.00%,.00%,00:00:15
Total,"A1G HOU HS26C STL",Outbound,1,835,58.44%,1,33.33,1,1,.03,00:02:32,1,100.00,0,.00,0,33.33,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G HS26 ANGI DIRECT STL 0507",Outbound,1,2143,13.02%,118,37.11,1,4,3.18,05:25:50,97,82.20,18,15.25,7,30.50,27.78%,.01,5,1.57,3.39%,.00%,1.02%,00:00:44
Total,"A1G IND DONS HS26E PRIORITY TIERS OTHER",Outbound,4,3189,98.90%,345,178.76,1,4,1.93,02:09:32,35,10.14,29,8.41,0,18.13,3.45%,.00,1,.52,16.81%,1.16%,14.63%,00:01:35
Total,"A1G KCI HS26C PRIORITY TIERS",Outbound,5,3813,.13%,2,100.00,7,1,.02,00:01:21,2,100.00,1,50.00,0,100.00,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G LAN HS26E OTHER PRIORITY TIER",Outbound,8,5799,63.08%,4,30.77,24,2,.13,00:11:03,2,50.00,1,25.00,2,15.38,100.00%,1.92,1,7.69,.00%,.00%,.00%,00:00:00
Total,"A1G LAS HS26P PRIORITY OTHER TIER",Outbound,5,36031,90.45%,1,50.00,4,1,.02,00:03:10,1,100.00,0,.00,0,50.00,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G LAS HS26P STL",Outbound,1,388,65.46%,3,150.00,1,1,.02,00:03:25,2,66.67,0,.00,1,100.00,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G MAD HS26C PRIORITY TIERS OTHER",Outbound,1,381,99.48%,11,45.83,1,3,.24,00:16:08,2,18.18,2,18.18,1,8.33,50.00%,.38,1,4.17,9.09%,.00%,.00%,00:00:47
Total,"A1G MKE HS26C PRIORITY OTHER TIER",Outbound,8,24956,72.84%,27,385.71,17,2,.07,00:04:54,6,22.22,4,14.81,0,85.71,.00%,.00,0,.00,37.04%,.00%,.00%,00:00:42
Total,"A1G NSH HS26C PRIORITY TIERS",Outbound,8,4696,5.77%,2,100.00,9,1,.02,00:01:38,2,100.00,1,50.00,0,100.00,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G ORL HS26E PRIORITY TIERS OTHER",Outbound,1,11998,99.82%,11,73.33,1,3,.15,00:11:32,2,18.18,0,.00,0,13.33,.00%,.00,0,.00,9.09%,.00%,.00%,00:01:29
Total,"A1G PHL HS26E STL",Outbound,1,96,45.83%,7,20.00,1,2,.35,00:34:54,7,100.00,1,14.29,0,20.00,100.00%,.41,1,2.86,.00%,.00%,.00%,00:00:00
Total,"A1G PHX HS26M PRIORITY OTHER TIER",Outbound,8,115763,92.89%,957,225.71,3,8,4.24,04:55:25,95,9.93,64,6.69,2,22.41,3.13%,.00,2,.47,12.54%,.73%,3.06%,00:01:09
Total,"A1G PHX HS26M STL",Outbound,1,812,57.27%,4,36.36,1,3,.11,00:17:05,2,50.00,0,.00,1,18.18,.00%,.00,0,.00,.00%,.00%,.00%,00:00:00
Total,"A1G RNO HS26P PRIORITY TIERS OTHER NEW",Outbound,6,2864,90.43%,951,158.24,1,7,6.01,06:46:19,132,13.88,71,7.47,2,21.96,9.86%,.00,7,1.16,13.88%,.84%,5.04%,00:00:58
Total,"A1G TUS HS26E PRIORITY OTHER",Outbound,8,24714,91.79%,136,591.30,5,2,.23,00:20:20,6,4.41,3,2.21,0,26.09,.00%,.00,0,.00,8.09%,.00%,25.00%,00:00:39
Total,"ABC MIDWEST HS26 HS26C ACTIVE 0806",Outbound,1,1848,88.58%,1775,140.21,1,7,12.66,16:41:35,209,11.77,146,8.23,6,16.51,18.49%,.00,27,2.13,18.48%,.17%,3.69%,00:01:09
