Date,Client,CampaignSegment,Calls,Contacts,Leads,Denom,ListSize,AvgSTLsec,PayrollHours
2026-08-01,A1G,STL,123,26,0,,,,
2026-08-01,OHS,FP5,1172,86,22,,,,
2026-08-03,A1G,PRIORITY,14296,499,11,,,,
2026-08-03,A1G,STL,332,40,0,,,,
2026-08-03,OHS,FP5,668,48,14,,,,
2026-08-03,OHS,PROB ENROLL,1,0,0,,,,
2026-08-03,SE,ACTIVE,1810,332,13,,,,
2026-08-03,SE,RENEW,67,29,5,,,,
2026-08-04,A1G,PRIORITY,6199,233,6,,,,
2026-08-04,A1G,STL,234,32,0,,,,
2026-08-04,OHS,FP5,315,23,8,,,,
2026-08-04,OHS,PROB ENROLL,300,35,8,,,,
2026-08-04,SE,ACTIVE,5938,477,18,,,,
2026-08-04,SE,RENEW,24,5,0,,,,
2026-08-05,A1G,PRIORITY,7474,292,7,,,,
2026-08-05,A1G,STL,209,36,0,,,,
2026-08-05,OHS,FP5,382,28,6,,,,
2026-08-05,OHS,PROB ENROLL,86,17,4,,,,
2026-08-05,SE,ACTIVE,1614,345,10,,,,
2026-08-05,SE,RENEW,147,39,4,,,,
2026-08-06,A1G,PRIORITY,5395,195,12,,,,
2026-08-06,A1G,STL,172,23,0,,,,
2026-08-06,OHS,FP5,388,38,9,,,,
2026-08-06,OHS,PROB ENROLL,276,36,12,,,,
2026-08-06,SE,ACTIVE,2805,423,20,,,,
2026-08-06,SE,RENEW,221,26,7,,,,
2026-08-07,A1G,PRIORITY,1632,133,7,,,,
2026-08-07,A1G,STL,100,25,0,,,,
2026-08-07,OHS,FP5,384,34,7,,,,
2026-08-07,OHS,PROB ENROLL,1,1,1,,,,
2026-08-07,SE,ACTIVE,3126,380,13,,,,
2026-08-07,SE,RENEW,117,13,3,,,,
2026-08-08,A1G,PRIORITY,646,23,1,,,,
2026-08-08,A1G,STL,71,15,0,,,,
2026-08-08,OHS,FP5,167,9,1,,,,
2026-08-08,OHS,PROB ENROLL,272,28,10,,,,
2026-08-08,SE,ACTIVE,1213,148,10,,,,
2026-08-10,A1G,PRIORITY,6809,407,23,,,,
2026-08-10,A1G,STL,138,21,0,,,,
2026-08-10,OHS,FP5,598,53,17,,,,
2026-08-10,OHS,PROB ENROLL,1,1,0,,,,
2026-08-10,SE,ACTIVE,1653,285,21,,,,
2026-08-11,A1G,PRIORITY,11831,347,9,,,,
2026-08-11,A1G,STL,139,18,0,,,,
2026-08-11,OHS,FP5,399,33,8,,,,
2026-08-11,OHS,PROB ENROLL,127,20,7,,,,
2026-08-11,SE,ACTIVE,2188,353,5,,,,
2026-08-11,SE,RENEW,226,34,1,,,,
2026-08-12,A1G,PRIORITY,9333,303,18,,,,
2026-08-12,A1G,STL,177,24,0,,,,
2026-08-12,OHS,FP5,719,47,14,,,,
2026-08-12,SE,ACTIVE,4394,721,14,,,,
2026-08-12,SE,RENEW,163,30,0,,,,
2026-08-13,A1G,PRIORITY,13670,407,24,,,,
2026-08-13,A1G,STL,174,21,0,,,,
2026-08-13,OHS,FP5,744,47,11,,,,
2026-08-13,SE,ACTIVE,6861,735,7,,,,
2026-08-14,A1G,PRIORITY,7453,260,27,,,,
2026-08-14,A1G,STL,149,22,0,,,,
2026-08-14,OHS,FP5,436,30,11,,,,
2026-08-14,OHS,PROB ENROLL,463,29,5,,,,
2026-08-14,SE,ACTIVE,4001,543,12,,,,
2026-08-15,A1G,PRIORITY,2,1,1,,,,
2026-08-15,A1G,STL,64,10,0,,,,
2026-08-15,OHS,FP5,9,3,1,,,,
2026-08-15,OHS,PROB ENROLL,5,3,2,,,,
2026-08-15,SE,ACTIVE,1660,165,6,,,,
